"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
-1.647541649E-3,3.776166586E-1,3.406617075E-1,-1.506190127E-1,5.304062847E-1
8.356458333E-3,2.968340853E-1,2.769486916E-1,1.328072244E-1,4.271402707E-1
1.836020834E-2,3.013850464E-1,2.790466726E-1,1.316073757E-1,4.313009309E-1
2.836420832E-2,1.521131225E-1,1.783652204E-1,3.803450060E-1,4.467828079E-1
3.836820833E-2,1.718947281E-1,1.476883882E-1,4.299650627E-1,4.860345798E-1
4.837220834E-2,1.745119419E-1,1.274938595E-1,3.328375483E-1,3.968500165E-1
5.837620833E-2,2.480797819E-1,9.358176291E-2,2.506303740E-1,3.648516259E-1
6.838020834E-2,2.352075021E-1,1.025396973E-1,2.436183929E-1,3.538175801E-1
7.838420835E-2,3.587731656E-1,-1.217612493E-1,4.035239536E-1,5.535120300E-1
8.838820833E-2,3.952608146E-1,-2.207779992E-1,4.198540574E-1,6.174556389E-1
9.839220834E-2,4.431639826E-1,-2.871667010E-1,3.988572907E-1,6.617750131E-1
1.083962084E-1,5.019362475E-1,-3.615117091E-1,2.657805097E-1,6.732532894E-1
1.183992083E-1,4.819074874E-1,-3.580033797E-1,2.624119288E-1,6.551803314E-1
1.284032083E-1,6.155771030E-1,-3.609749347E-1,-2.088087487E-1,7.435315506E-1
1.384072083E-1,6.391825318E-1,-3.603773493E-1,-2.660705316E-1,7.805252530E-1
1.484112083E-1,6.284314026E-1,-3.588407010E-1,-2.675709271E-1,7.715483637E-1
1.584152083E-1,5.253861770E-1,-4.324255711E-1,-1.416756964E-1,6.950500071E-1
1.684192083E-1,5.195857025E-1,-4.354819107E-1,-1.397887999E-1,6.922100154E-1
1.784232083E-1,3.770654855E-1,-1.891404694E-1,-3.038797975E-1,5.198994410E-1
1.884272083E-1,3.822655240E-1,-1.019789493E-1,-4.317940718E-1,5.856387601E-1
1.984312084E-1,4.076720414E-1,-4.994691610E-2,-5.606298673E-1,6.949798817E-1
2.084352083E-1,4.133193919E-1,-8.685454130E-3,-6.765234357E-1,7.928381398E-1
2.184392083E-1,4.156476436E-1,-1.416020215E-2,-6.726245123E-1,7.908142699E-1
2.284432083E-1,3.018095542E-1,1.984948450E-1,-6.659493309E-1,7.576131743E-1
2.384472083E-1,1.137375538E-1,2.081719869E-1,-4.163755488E-1,4.792081019E-1
2.484512083E-1,-1.175321044E-1,1.704194391E-1,-6.209743023E-2,2.161311445E-1
2.584542083E-1,-3.478371913E-1,1.619871694E-1,2.416654229E-1,4.534674534E-1
2.684582083E-1,-3.313301726E-1,1.680577487E-1,2.381857449E-1,4.413111592E-1
2.784622083E-1,-6.244893560E-1,7.238151312E-2,7.302973545E-1,9.636183192E-1
2.884662083E-1,-6.543319367E-1,-2.904955208E-2,7.457538843E-1,9.925437098E-1
2.984702083E-1,-6.249612263E-1,-1.178944856E-1,6.974365872E-1,9.438715152E-1
3.084742083E-1,-5.556639002E-1,-1.597418386E-1,5.072412801E-1,7.691381808E-1
3.184782083E-1,-5.657051409E-1,-1.594272584E-1,5.065571558E-1,7.759120499E-1
3.284822083E-1,-3.282174074E-1,-4.371144533E-2,-6.951813161E-2,3.383343429E-1
3.384862083E-1,-1.615807148E-1,2.334091544E-2,-3.654381144E-1,4.002475999E-1
3.484902083E-1,-1.743559308E-2,9.553180933E-2,-6.862742525E-1,6.931108686E-1
3.584942083E-1,1.416286994E-2,2.262118167E-1,-9.722913909E-1,9.983601162E-1
3.684982084E-1,1.616492003E-2,2.149296141E-1,-9.643257290E-1,9.881195046E-1
3.785022083E-1,-1.380751637E-1,4.547291905E-1,-1.229974676E0,1.318590570E0
3.885052083E-1,-2.240005093E-1,4.884828275E-1,-1.101427149E0,1.225533951E0
3.985092083E-1,-2.164324216E-1,4.880296683E-1,-1.100765244E0,1.223396940E0
4.085132083E-1,-3.130885043E-1,2.797997940E-1,-5.534424698E-1,6.947020251E-1
4.185172083E-1,-3.107698275E-1,2.830140084E-1,-5.555878133E-1,6.966725435E-1
4.285212083E-1,-1.175922942E-1,1.701259089E-1,-3.202824068E-1,3.812500395E-1
4.385252083E-1,3.459391851E-2,2.148957002E-1,-3.214881027E-1,3.882415502E-1
4.485292083E-1,1.972661988E-1,2.874146229E-1,-2.518992198E-1,4.300864280E-1
4.585332083E-1,3.826393803E-1,3.187779182E-1,-2.735122830E-1,5.681911874E-1
4.685372083E-1,3.718772145E-1,3.166816914E-1,-2.725129938E-1,5.593239563E-1
4.785412083E-1,7.997200303E-1,6.007125306E-1,-6.177355295E-1,1.175587026E0
4.885452083E-1,9.766978526E-1,7.096654540E-1,-7.840063691E-1,1.439524136E0
4.985492083E-1,1.096332323E0,8.151579952E-1,-9.556239027E-1,1.667226488E0
5.085532083E-1,1.155124030E0,9.665570265E-1,-9.436207384E-1,1.777347492E0
5.185572083E-1,1.163713590E0,9.738274544E-1,-9.483575678E-1,1.789399706E0
5.285602083E-1,8.706178855E-1,1.111672640E0,-3.593190032E-1,1.457018087E0
5.385642083E-1,7.879757515E-1,1.063410307E0,-2.000332475E-2,1.323687047E0
5.485682083E-1,8.071841472E-1,1.072765852E0,-2.560905039E-2,1.342769021E0
5.585722083E-1,5.418699164E-1,9.647800577E-1,2.527874118E-1,1.135044070E0
5.685762083E-1,5.600045076E-1,9.686982769E-1,2.509993333E-1,1.146726674E0
5.785802083E-1,4.672469463E-1,9.934998268E-1,1.253140175E-1,1.105018198E0
5.885842083E-1,4.405603637E-1,1.039306914E0,4.404824495E-2,1.129686923E0
5.985882083E-1,4.334685682E-1,1.051264470E0,-3.227312207E-2,1.137582322E0
6.085922083E-1,3.972838050E-1,1.000828727E0,-1.645991206E-1,1.089305023E0
6.185962083E-1,4.011887949E-1,1.005709398E0,-1.677355671E-1,1.095691135E0
6.286002084E-1,3.480842362E-1,9.167633075E-1,-3.925253409E-1,1.056264049E0
6.386042083E-1,3.176549239E-1,7.679323733E-1,-4.075936157E-1,9.256118712E-1
6.486082083E-1,3.124568223E-1,7.748946530E-1,-4.126654905E-1,9.318711263E-1
6.586112083E-1,3.291615500E-1,5.997816539E-1,-6.278962362E-1,9.286221200E-1
6.686152083E-1,3.200815915E-1,6.016726434E-1,-6.296954244E-1,9.278892836E-1
6.786192083E-1,4.488423599E-1,5.953670061E-1,-1.047135751E0,1.285462803E0
6.886232083E-1,4.759122641E-1,6.067877877E-1,-1.280382353E0,1.494678184E0
6.986272083E-1,5.647555165E-1,6.814432830E-1,-1.467292110E0,1.713551831E0
7.086312083E-1,5.915711033E-1,7.144081306E-1,-1.692209353E0,1.929742947E0
7.186352083E-1,5.910196378E-1,7.066371810E-1,-1.686895988E0,1.922045367E0
7.286392083E-1,5.675616318E-1,8.638477600E-1,-1.902719641E0,2.165340895E0
7.386432083E-1,5.463574352E-1,9.710026646E-1,-1.877467856E0,2.183171585E0
7.486472083E-1,5.215897626E-1,1.037788977E0,-1.826975979E0,2.164925650E0
7.586512083E-1,4.825271826E-1,1.017538315E0,-1.642019777E0,1.991091573E0
7.686552083E-1,4.923800333E-1,1.023439910E0,-1.645544479E0,1.999420911E0
7.786582083E-1,3.551623273E-1,8.446817565E-1,-1.148622365E0,1.469340289E0
7.886622083E-1,2.714162023E-1,8.785429823E-1,-1.058896256E0,1.402414278E0
7.986662083E-1,2.011717734E-1,9.576949865E-1,-1.011964164E0,1.407736211E0
8.086702083E-1,1.062735830E-1,1.030945396E0,-1.016729060E0,1.451854148E0
8.186742083E-1,1.207073983E-1,1.034827947E0,-1.018484979E0,1.456966303E0
8.286782083E-1,6.455998510E-2,1.067981660E0,-8.557072663E-1,1.370032023E0
8.386822083E-1,5.367477190E-2,1.079258600E0,-8.121004862E-1,1.351734925E0
8.486862083E-1,5.694256146E-2,1.111496054E0,-7.060302401E-1,1.318007827E0
8.586902083E-1,7.820987150E-2,1.130691293E0,-6.417424428E-1,1.302464183E0
8.686942083E-1,8.705542970E-2,1.138724783E0,-6.465804291E-1,1.312379149E0
8.786982083E-1,9.723747868E-2,1.164273022E0,-6.679350454E-1,1.345780080E0
