"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.669208334E-3,-8.419219438E-2,-1.552505922E-1,6.756282270E-2,1.890920596E-1
1.267320834E-2,-1.013527125E-1,-9.314673007E-2,-1.563662410E-1,2.083244752E-1
2.267720836E-2,-1.039236236E-1,-8.162332982E-2,-1.408319432E-1,1.931220436E-1
3.268120834E-2,-1.612286211E-1,-7.138251632E-2,-2.408117294E-2,1.779607675E-1
4.268520835E-2,-2.332118840E-1,-1.088763249E-1,1.363582385E-1,2.912651818E-1
5.268920833E-2,-2.800888657E-1,-1.599672487E-1,1.999239045E-1,3.794849944E-1
6.269320834E-2,-3.116241422E-1,-1.601397416E-1,1.688091159E-1,3.889098359E-1
7.269820833E-2,-3.203109851E-1,-1.570070958E-1,7.390588224E-2,3.642971791E-1
8.270220834E-2,-3.264634254E-1,-1.462955815E-1,-2.588562369E-2,3.586792868E-1
9.270620835E-2,-3.518654113E-1,-7.711132586E-2,-7.155179322E-2,3.672534320E-1
1.027102083E-1,-3.552515338E-1,-8.105965823E-2,-6.937078178E-2,3.709267122E-1
1.127142083E-1,-4.891856994E-1,1.479637921E-3,-1.302057981E-1,5.062197030E-1
1.227182084E-1,-5.355374550E-1,5.460393101E-2,-1.703562891E-1,5.646266202E-1
1.327222083E-1,-5.413728666E-1,7.529927373E-2,-1.765046364E-1,5.743765733E-1
1.427262083E-1,-5.307935724E-1,3.476725191E-2,-1.727910697E-1,5.592918130E-1
1.527302083E-1,-5.238362994E-1,1.397952318E-2,-2.094379091E-1,5.643262650E-1
1.627342083E-1,-5.094856607E-1,-1.516387671E-2,-2.224356848E-1,5.561323723E-1
1.727382083E-1,-5.217701492E-1,-2.388763011E-2,-2.096425617E-1,5.628185419E-1
1.827422083E-1,-5.559713541E-1,4.418156147E-3,-1.342035395E-1,5.719565164E-1
1.927462083E-1,-5.791120755E-1,2.974858671E-2,-1.175886762E-1,5.916780130E-1
2.027502084E-1,-6.240736920E-1,6.122502565E-2,-2.221292907E-1,6.652502526E-1
2.127542083E-1,-6.469523851E-1,1.136239716E-1,-3.492775798E-1,7.439439651E-1
2.227582083E-1,-6.710219367E-1,1.969947419E-1,-3.570444363E-1,7.852121353E-1
2.327622084E-1,-6.971914427E-1,2.142715099E-1,-2.103483206E-1,7.591011815E-1
2.427662083E-1,-7.376053508E-1,1.691274968E-1,-3.769699931E-2,7.576851770E-1
2.527702083E-1,-7.296060674E-1,9.717721581E-2,-3.116098166E-2,7.367085120E-1
2.627742083E-1,-6.426244953E-1,9.237840593E-2,-1.078507233E-1,6.581274879E-1
2.727782083E-1,-5.905872727E-1,9.186648220E-2,-1.755357528E-1,6.229330444E-1
2.827822083E-1,-5.558356621E-1,1.406641281E-1,-2.559080708E-1,6.278762783E-1
2.927862083E-1,-5.235214633E-1,2.760771641E-1,-3.347010559E-1,6.799397914E-1
3.027902083E-1,-5.224151701E-1,2.768849570E-1,-3.351583081E-1,6.796425391E-1
3.127942084E-1,-4.521981501E-1,6.385077631E-1,-4.921238887E-1,9.243166408E-1
3.227982083E-1,-4.189591411E-1,7.517733005E-1,-5.340911096E-1,1.012888528E0
3.328022083E-1,-4.239301515E-1,7.916451716E-1,-5.849922913E-1,1.071743828E0
3.428062084E-1,-4.690735068E-1,8.066584826E-1,-5.777891064E-1,1.097528184E0
3.528102083E-1,-4.646212175E-1,8.153155777E-1,-5.824142540E-1,1.104454042E0
3.628142083E-1,-4.870858181E-1,7.280315584E-1,-4.621370280E-1,9.903803193E-1
3.728182083E-1,-4.019869398E-1,7.346701947E-1,-3.690628034E-1,9.151727419E-1
3.828222083E-1,-2.675313488E-1,7.575427482E-1,-2.342447215E-1,8.368480313E-1
3.928262084E-1,-1.448729356E-1,7.295951039E-1,-1.192568868E-1,7.533388269E-1
4.028302083E-1,-4.140674701E-2,6.533222687E-1,-4.372080088E-2,6.560914677E-1
4.128352083E-1,4.646550218E-2,5.877533466E-1,-8.255391419E-2,5.953387171E-1
4.228392083E-1,1.069137983E-1,5.504118580E-1,-2.351136178E-1,6.079985090E-1
4.328432083E-1,2.342169290E-1,5.415872401E-1,-3.846602511E-1,7.043705114E-1
4.428472084E-1,3.895365366E-1,5.041314384E-1,-4.659453195E-1,7.892985882E-1
4.528512083E-1,5.469549841E-1,4.825312391E-1,-5.940911436E-1,9.407127288E-1
4.628552083E-1,6.450774023E-1,4.924191731E-1,-7.781667548E-1,1.124342028E0
4.728592084E-1,7.240420762E-1,4.937289494E-1,-9.177210814E-1,1.268943335E0
4.828632083E-1,8.050728638E-1,5.140749210E-1,-9.515022004E-1,1.348247669E0
4.928672083E-1,7.979739786E-1,5.228632861E-1,-9.239489508E-1,1.328092674E0
5.028712083E-1,8.151351911E-1,5.357142967E-1,-9.308492500E-1,1.348300973E0
5.128752083E-1,6.550352836E-1,5.959224916E-1,-7.597199589E-1,1.166777294E0
5.228792084E-1,6.726704860E-1,6.421327445E-1,-6.999848038E-1,1.163958234E0
5.328832083E-1,7.659788185E-1,6.963630384E-1,-6.655312550E-1,1.230681471E0
5.428872083E-1,8.965735296E-1,7.104364094E-1,-6.621188200E-1,1.321728156E0
5.528912084E-1,9.987396629E-1,7.023836240E-1,-7.881514603E-1,1.453274370E0
5.628952083E-1,1.093231764E0,7.367243215E-1,-1.020908065E0,1.667384687E0
5.728992083E-1,1.172252425E0,8.946573240E-1,-1.315451614E0,1.976107392E0
5.829032083E-1,1.165209381E0,1.097401925E0,-1.487394837E0,2.185027983E0
5.929072083E-1,1.095129040E0,1.283602122E0,-1.482790155E0,2.246243234E0
6.029112083E-1,9.264115787E-1,1.353924538E0,-1.373510957E0,2.139598658E0
6.129152083E-1,7.429437125E-1,1.320099565E0,-1.201948972E0,1.933729442E0
6.229192083E-1,5.713935315E-1,1.258176090E0,-8.955308980E-1,1.646655164E0
6.329227083E-1,4.290718275E-1,1.145220747E0,-4.369507313E-1,1.298675916E0
6.429267083E-1,3.527246961E-1,9.580771020E-1,1.984720409E-2,1.021136796E0
6.529307083E-1,3.326734242E-1,7.218791181E-1,3.192918885E-1,8.565794641E-1
6.629347084E-1,4.498352171E-1,5.369606307E-1,3.786183232E-1,7.962601812E-1
6.729387083E-1,6.108665495E-1,3.692902601E-1,1.978639305E-1,7.407316467E-1
6.829427083E-1,6.101058633E-1,3.846359852E-1,1.905630970E-1,7.459814337E-1
6.929467084E-1,1.001515629E0,3.284307942E-1,-4.649711734E-1,1.151997627E0
7.029507083E-1,9.970493791E-1,3.379345661E-1,-4.695629919E-1,1.152734418E0
7.129547083E-1,1.164023273E0,5.327161369E-1,-1.225362393E0,1.772074958E0
7.229587083E-1,1.200971025E0,6.958391279E-1,-1.412551062E0,1.980359562E0
7.329627083E-1,1.212258344E0,8.372724572E-1,-1.563713865E0,2.148440484E0
7.429667083E-1,1.174800496E0,9.319456029E-1,-1.710904655E0,2.275054626E0
7.529707083E-1,1.168513642E0,1.000826388E0,-1.788947443E0,2.359536087E0
7.629747083E-1,1.163687131E0,1.054745902E0,-1.760840462E0,2.359494817E0
7.729787084E-1,1.124235090E0,1.067732568E0,-1.687064388E0,2.291319189E0
7.829837083E-1,1.084505599E0,1.072287842E0,-1.606540042E0,2.215157899E0
7.929877084E-1,1.053980502E0,1.047984475E0,-1.434690959E0,2.065789076E0
8.029917083E-1,1.076976285E0,1.083159277E0,-1.449622993E0,2.105829709E0
8.129957083E-1,1.024111097E0,8.321137512E-1,-8.885709572E-1,1.590841029E0
8.229997084E-1,9.926228175E-1,7.514809397E-1,-6.986393595E-1,1.427627618E0
8.330037083E-1,9.852190000E-1,6.802103975E-1,-6.970740598E-1,1.385371758E0
8.430077083E-1,9.937914567E-1,7.066424435E-1,-7.358533788E-1,1.424234952E0
8.530117083E-1,1.047069605E0,7.574661496E-1,-7.968860310E-1,1.518267786E0
8.630157083E-1,1.067930789E0,8.243658981E-1,-8.541630167E-1,1.596762275E0
8.730197083E-1,1.072295151E0,9.241813776E-1,-7.863774151E-1,1.619357140E0
8.830237083E-1,1.054870083E0,9.353752872E-1,-6.818566811E-1,1.566079932E0
8.930277083E-1,1.054903485E0,8.647073007E-1,-6.018539071E-1,1.490895102E0
9.030317084E-1,1.074351763E0,7.950207692E-1,-6.083261901E-1,1.468451731E0
9.130357083E-1,1.120121574E0,7.661942884E-1,-7.277643406E-1,1.539924337E0
9.230397083E-1,1.210954634E0,8.014980224E-1,-8.441753876E-1,1.679714943E0
9.330437084E-1,1.320156868E0,8.241501358E-1,-9.842349136E-1,1.841400545E0
9.430477083E-1,1.403186015E0,8.458061761E-1,-1.088698345E0,1.967125610E0
9.530517083E-1,1.449885533E0,8.482219532E-1,-1.146959417E0,2.034002076E0
9.630557083E-1,1.445828443E0,8.546366411E-1,-1.127843115E0,2.023080267E0
9.730597083E-1,1.370488823E0,9.146352133E-1,-1.014433444E0,1.934908887E0
9.830637084E-1,1.270017286E0,9.916526914E-1,-7.582815439E-1,1.780817191E0
9.930677083E-1,1.194154268E0,1.039896898E0,-3.687031996E-1,1.625832717E0
1.003071708E0,1.246860850E0,1.079835720E0,-3.780178142E-1,1.692218848E0
1.013075708E0,1.018379291E0,9.552648836E-1,3.054474360E-1,1.429309454E0
1.023079708E0,1.053446724E0,1.027083018E0,5.302717084E-1,1.563917392E0
1.033083708E0,1.145549361E0,1.111162178E0,8.443484652E-1,1.805516285E0
1.043087708E0,1.286418726E0,1.299840717E0,1.186577227E0,2.180005629E0
1.053091708E0,1.390306353E0,1.567070459E0,1.545755897E0,2.603463630E0
1.063095708E0,1.403892797E0,1.960553867E0,1.929104617E0,3.088062673E0
1.073099708E0,1.280266140E0,2.363597471E0,2.219781986E0,3.486130586E0
1.083103708E0,9.100767240E-1,2.737186312E0,2.415621026E0,3.762399964E0
1.093107708E0,3.182803933E-1,2.909873886E0,2.341798174E0,3.748691389E0
1.103111708E0,2.461430014E-1,2.998237301E0,2.306132498E0,3.790548824E0
1.113115708E0,-5.671003962E-1,2.709173471E0,2.296012137E0,3.596233514E0
1.123119708E0,-1.191790823E0,2.011402423E0,2.649222554E0,3.533339103E0
1.133123708E0,-1.710460559E0,1.184411710E0,3.431198770E0,4.012683818E0
1.143127708E0,-2.056732963E0,3.242348322E-1,4.336813191E0,4.810740833E0
1.153131708E0,-2.224544836E0,-5.003466819E-1,5.018216128E0,5.511936106E0
1.163135708E0,-2.375230799E0,-1.110201188E0,5.323506274E0,5.934137433E0
1.173139708E0,-2.468725146E0,-1.460462708E0,5.276171894E0,6.005459602E0
1.183143708E0,-2.423199310E0,-1.609654562E0,5.001390765E0,5.785913263E0
1.193147708E0,-2.292596778E0,-1.693837218E0,4.513666322E0,5.338376923E0
1.203151708E0,-2.171592597E0,-1.771953972E0,3.801630991E0,4.723138097E0
1.213155708E0,-1.989856603E0,-1.776654549E0,2.867115537E0,3.916169326E0
1.223159708E0,-1.738211006E0,-1.724129011E0,1.805395660E0,3.041948691E0
1.233163708E0,-1.550054623E0,-1.635959431E0,6.652692997E-1,2.349811872E0
1.243167708E0,-1.429540731E0,-1.364461513E0,-2.415894091E-1,1.990906167E0
1.253171708E0,-1.451054538E0,-9.529476321E-1,-8.360810870E-1,1.926836798E0
1.263176708E0,-1.812666235E0,-7.543519226E-1,-1.668056844E0,2.576280135E0
1.273180708E0,-1.997414422E0,-4.209971881E-1,-1.954418968E0,2.826067322E0
1.283184708E0,-2.100527439E0,-1.183681101E-2,-1.955026494E0,2.869579102E0
1.293188708E0,-2.221803077E0,1.816460931E-1,-1.722677439E0,2.817272045E0
1.303192708E0,-2.304520713E0,1.105036050E-1,-1.247549068E0,2.622862070E0
1.313196708E0,-2.419793745E0,-2.670093021E-1,-6.689828664E-1,2.524724502E0
1.323200708E0,-2.483145257E0,-7.563575175E-1,-1.834569758E-1,2.602257390E0
1.333204708E0,-2.473240366E0,-1.264788121E0,1.589904714E-1,2.782424279E0
1.343208708E0,-2.415180731E0,-1.716472374E0,5.748847944E-1,3.018255771E0
1.353212708E0,-2.407905771E0,-1.718609532E0,5.755928922E-1,3.013790985E0
1.363216708E0,-1.958102568E0,-2.345777497E0,1.014401869E0,3.219603839E0
1.373220708E0,-1.712864496E0,-2.566301435E0,7.343290097E-1,3.171600058E0
1.383224708E0,-1.415562962E0,-2.695518469E0,1.393958670E-1,3.047797487E0
1.393228708E0,-1.129214214E0,-2.724221573E0,-5.933286667E-1,3.008080256E0
1.403232708E0,-8.937868928E-1,-2.607139558E0,-1.385887173E0,3.084917332E0
1.413236708E0,-6.454041155E-1,-2.320705513E0,-2.105627380E0,3.199357313E0
1.423240708E0,-5.318995001E-1,-1.978367117E0,-2.608311925E0,3.316646593E0
1.433244708E0,-5.099409761E-1,-1.677758544E0,-2.944876488E0,3.427420468E0
1.443248708E0,-5.492446441E-1,-1.430148842E0,-3.186964080E0,3.536062137E0
1.453252708E0,-6.120430824E-1,-1.197574085E0,-3.372111486E0,3.630415444E0
1.463256708E0,-6.704902786E-1,-9.212899294E-1,-3.512652238E0,3.692838758E0
1.473260708E0,-7.478028949E-1,-6.908879980E-1,-3.501054286E0,3.646082351E0
1.483264708E0,-7.745778070E-1,-4.993525091E-1,-3.371447827E0,3.495137216E0
1.493268708E0,-7.822445299E-1,-4.220467633E-1,-3.155829411E0,3.278610872E0
1.503272708E0,-8.196554542E-1,-4.452584553E-1,-2.935273606E0,3.079922288E0
1.513276708E0,-8.761312252E-1,-4.936298391E-1,-2.760724279E0,2.938175435E0
1.523280708E0,-8.513681207E-1,-4.625410706E-1,-2.570552945E0,2.747091983E0
1.533284708E0,-8.193467943E-1,-4.350015619E-1,-2.307066298E0,2.486586100E0
1.543288708E0,-7.524142284E-1,-3.848915085E-1,-1.948348973E0,2.123754309E0
1.553292708E0,-6.726046318E-1,-3.418896228E-1,-1.690656332E0,1.851379037E0
1.563296708E0,-6.498544313E-1,-3.007322413E-1,-1.484067771E0,1.647788765E0
1.573300708E0,-5.665325950E-1,-2.768449035E-1,-1.311032288E0,1.454787937E0
1.583304708E0,-4.385678884E-1,-2.422688556E-1,-1.218935133E0,1.317891820E0
1.593308708E0,-2.915418801E-1,-1.843896067E-1,-1.266515681E0,1.312653102E0
1.603312708E0,-1.790016533E-1,-1.266930833E-1,-1.442271289E0,1.458848587E0
1.613316708E0,-6.117314075E-2,4.922478497E-3,-1.672014239E0,1.673140162E0
1.623320708E0,5.522693356E-2,2.144685611E-1,-1.783235883E0,1.796935444E0
1.633324958E0,1.100233019E-1,3.937974027E-1,-1.874065946E0,1.918151373E0
1.643328958E0,1.335344353E-1,5.682578525E-1,-1.885920006E0,1.974194190E0
1.653332958E0,1.174529112E-1,7.437614456E-1,-1.762111062E0,1.916249375E0
1.663336958E0,6.682296719E-2,8.254277524E-1,-1.596081128E0,1.798129931E0
1.673340958E0,1.102669938E-1,8.480555999E-1,-1.391922669E0,1.633648012E0
1.683344958E0,1.759721378E-1,9.556844214E-1,-1.084891807E0,1.456464603E0
1.693348958E0,1.885132825E-1,1.062134736E0,-6.975728273E-1,1.284630416E0
1.703352958E0,1.654471131E-1,1.126461418E0,-2.850786602E-1,1.173694132E0
1.713356958E0,1.370607814E-1,1.140275465E0,-2.200891972E-3,1.148485366E0
1.723360958E0,1.173333722E-1,1.158874873E0,1.761707604E-1,1.178046785E0
1.733364958E0,1.211689264E-1,1.188724909E0,3.071770424E-1,1.233736825E0
1.743368958E0,1.462590364E-1,1.229665066E0,4.382020354E-1,1.313578663E0
1.753372958E0,2.011698000E-1,1.280380307E0,6.173215467E-1,1.435593574E0
1.763376958E0,3.000644892E-1,1.301318016E0,8.320079166E-1,1.573437145E0
1.773380958E0,3.859271966E-1,1.284056159E0,1.095547189E0,1.731462868E0
1.783384958E0,4.681398527E-1,1.254575374E0,1.446218745E0,1.970954832E0
1.793388958E0,4.793525465E-1,1.219863963E0,1.770404752E0,2.202766429E0
1.803392958E0,4.837360579E-1,1.164680281E0,2.043962644E0,2.401721054E0
1.813396958E0,5.069992784E-1,1.171317894E0,2.314554242E0,2.643141165E0
1.823400958E0,5.608400016E-1,1.259271419E0,2.581177921E0,2.926223757E0
1.833404958E0,7.473984137E-1,1.391301257E0,2.882527043E0,3.286835215E0
1.843408958E0,1.017081574E0,1.489272086E0,3.099275141E0,3.585790384E0
1.853412958E0,1.375395222E0,1.528838148E0,3.037748984E0,3.668375252E0
1.863416958E0,1.786712345E0,1.639060209E0,2.670399415E0,3.606922845E0
1.873420958E0,2.067781715E0,1.801543515E0,2.233758586E0,3.537083216E0
1.883424958E0,1.984200007E0,1.976154092E0,1.922281501E0,3.396674967E0
1.893428958E0,1.523416609E0,2.044756988E0,1.806348757E0,3.124856018E0
1.903433958E0,9.446021204E-1,2.104759068E0,2.261891295E0,3.230856873E0
1.913437958E0,4.055448244E-1,2.068801762E0,3.212544479E0,3.842505611E0
1.923441958E0,-2.268785454E-1,1.594878794E0,4.020265986E0,4.331010371E0
1.933445958E0,-9.425223389E-1,9.245287022E-1,4.244074012E0,4.444689629E0
1.943449958E0,-1.521432649E0,3.988148984E-1,4.186956655E0,4.472629726E0
1.953453958E0,-1.815077919E0,1.029890558E-1,4.396423801E0,4.757484296E0
1.963457958E0,-1.878748542E0,-1.756678998E-2,4.983439813E0,5.325849890E0
1.973461958E0,-1.682698564E0,-6.335268125E-2,5.577900501E0,5.826530873E0
1.983465958E0,-1.263028109E0,-2.589008220E-1,5.474820521E0,5.624582596E0
1.993469958E0,-7.550060798E-1,-5.763635552E-1,4.496735709E0,4.595961397E0
2.003473958E0,-2.159055144E-1,-7.974768922E-1,2.950903214E0,3.064378299E0
2.013477958E0,3.757173733E-1,-7.840683496E-1,1.305120753E0,1.568204993E0
2.023481958E0,9.232604411E-1,-6.438711217E-1,-1.566545087E-1,1.136450834E0
2.033485958E0,1.445656242E0,-3.901227200E-1,-1.342321324E0,2.010956052E0
2.043489958E0,1.881238871E0,-1.344757274E-1,-2.242778501E0,2.930392263E0
2.053493958E0,2.091321290E0,-2.033603132E-2,-2.818117624E0,3.509391006E0
2.063497958E0,2.120053630E0,1.392923713E-2,-3.065203416E0,3.726968393E0
2.073501958E0,2.015060734E0,3.182814896E-2,-3.013463159E0,3.625250750E0
2.083505958E0,1.789316694E0,6.218163013E-2,-2.720169745E0,3.256507981E0
2.093509958E0,1.512854491E0,9.187203705E-2,-2.151367809E0,2.631644473E0
2.103513958E0,1.229611418E0,-3.436993361E-3,-1.387624966E0,1.854038591E0
2.113517958E0,9.580665770E-1,-1.556189668E-1,-6.151118839E-1,1.149117687E0
2.123521958E0,6.703180781E-1,-3.568485546E-1,1.008668089E-1,7.660556963E-1
2.133525958E0,4.295820701E-1,-6.523370129E-1,7.691936177E-1,1.096240464E0
2.143529958E0,2.192816967E-1,-9.711166853E-1,1.411972187E0,1.727662449E0
2.153533958E0,8.342544168E-2,-1.292263311E0,1.893716099E0,2.294137078E0
2.163537958E0,1.144110069E-2,-1.619663825E0,2.179087704E0,2.715117867E0
2.173541958E0,-3.821506262E-2,-1.898901702E0,2.300227395E0,2.983007565E0
2.183545958E0,-1.629443586E-2,-2.096517710E0,2.235327979E0,3.064693001E0
2.193549958E0,7.189093173E-2,-2.227632458E0,1.955348091E0,2.964945333E0
2.203553958E0,2.318782072E-1,-2.301295973E0,1.451318101E0,2.730577758E0
2.213557958E0,3.957551967E-1,-2.311081873E0,9.078006953E-1,2.514323707E0
2.223561958E0,5.289964306E-1,-2.254172385E0,4.579235244E-1,2.360259376E0
2.233565958E0,6.027615412E-1,-2.203818211E0,-7.779545009E-2,2.286085806E0
2.243569958E0,6.271233805E-1,-2.113973988E0,-6.888674927E-1,2.310131637E0
2.253573958E0,6.587055078E-1,-1.967508837E0,-1.301610085E0,2.449320882E0
2.263577958E0,6.717304730E-1,-1.795470304E0,-1.846172973E0,2.661445113E0
2.273581958E0,6.703530152E-1,-1.590721862E0,-2.293284411E0,2.870352347E0
2.283585958E0,6.287750727E-1,-1.411713156E0,-2.660222336E0,3.076536202E0
2.293589958E0,6.045254268E-1,-1.271392844E0,-2.858025455E0,3.185937893E0
2.303593958E0,6.777021613E-1,-1.168514885E0,-2.901976637E0,3.200964801E0
