"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.820791666E-3,6.243583784E-2,-2.216624490E0,-1.232995933E0,2.537242861E0
1.382579167E-2,3.175350925E-1,-2.066996580E0,-1.831015821E0,2.779554341E0
2.382979167E-2,5.327077315E-1,-2.040771818E0,-2.349162742E0,3.157070277E0
3.383479167E-2,7.104545358E-1,-2.016874833E0,-2.813120009E0,3.533578062E0
4.383979167E-2,8.448822429E-1,-1.915759517E0,-3.167741359E0,3.797176036E0
5.384479166E-2,8.553422539E-1,-1.676917714E0,-3.279362367E0,3.781253883E0
6.384879167E-2,7.935903941E-1,-1.369340723E0,-3.007520633E0,3.398537934E0
7.385379166E-2,7.754966238E-1,-1.053485243E0,-2.485125709E0,2.808393840E0
8.385879167E-2,8.246385976E-1,-7.039737743E-1,-2.178327566E0,2.433252736E0
9.386379167E-2,8.416702212E-1,-3.596727598E-1,-2.072064362E0,2.265220514E0
1.038677917E-1,8.033826531E-1,-1.076478249E-1,-2.018758221E0,2.175407202E0
1.138727917E-1,6.950499000E-1,1.680519015E-1,-1.966289400E0,2.092278617E0
1.238777917E-1,5.491957833E-1,4.362309390E-1,-1.678214627E0,1.818878164E0
1.338817917E-1,3.790444756E-1,6.607745451E-1,-1.250556291E0,1.464304869E0
1.438867917E-1,2.836633417E-1,8.081664795E-1,-7.747075421E-1,1.154889486E0
1.538917917E-1,2.390400962E-1,9.645414913E-1,-2.628358519E-1,1.027892573E0
1.638967917E-1,2.197337961E-1,1.204343991E0,2.289921677E-1,1.245457668E0
1.739007917E-1,2.305738761E-1,1.455888870E0,5.311686713E-1,1.566817434E0
1.839057917E-1,2.956594162E-1,1.646803969E0,6.961952233E-1,1.812199104E0
1.939107917E-1,2.967147290E-1,1.774211875E0,7.932017004E-1,1.965969568E0
2.039147917E-1,2.666348976E-1,1.919971266E0,9.116370535E-1,2.142070482E0
2.139197917E-1,2.462050550E-1,2.101387564E0,1.030888678E0,2.353545854E0
2.239247917E-1,1.818677391E-1,2.284879038E0,1.194759820E0,2.584801563E0
2.339297917E-1,1.319497668E-1,2.408678042E0,1.375814760E0,2.777050037E0
2.439337917E-1,7.569257207E-2,2.467188206E0,1.639662765E0,2.963315877E0
2.539385417E-1,-2.282570265E-2,2.409128278E0,2.019366916E0,3.143606657E0
2.639435417E-1,-2.035329888E-1,2.313341530E0,2.444720280E0,3.371888485E0
