"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.982870417E-1,-2.091851450E-2,8.503056085E-1,-1.816218857E0,2.005519421E0
6.082910417E-1,-8.663243847E-3,9.136347547E-1,-1.736947569E0,1.962597864E0
6.182950417E-1,5.051060596E-2,9.361836648E-1,-1.660444354E0,1.906847301E0
6.282990417E-1,1.669766716E-1,9.314006424E-1,-1.536260603E0,1.804296263E0
6.383030417E-1,2.677854103E-1,9.464809039E-1,-1.303218654E0,1.632762685E0
6.483070417E-1,3.164785007E-1,9.005542409E-1,-1.196566610E0,1.530662678E0
6.583110417E-1,2.919840027E-1,9.680805185E-1,-1.230893859E0,1.592963979E0
6.683150417E-1,3.914560314E-1,1.012888024E0,-1.166196756E0,1.593485127E0
6.783190417E-1,4.229937199E-1,1.153467076E0,-1.052651430E0,1.617864337E0
6.883230417E-1,4.472188074E-1,1.290401849E0,-9.050361317E-1,1.638362596E0
6.983270417E-1,4.329095378E-1,1.364982208E0,-9.401474923E-1,1.713027847E0
7.083310417E-1,5.673523015E-1,1.573944446E0,-2.163773847E-1,1.687011833E0
7.183350417E-1,6.532989530E-1,1.704681464E0,1.280850130E-1,1.830066716E0
7.283390417E-1,7.733512804E-1,1.833961940E0,4.306269675E-1,2.036400792E0
7.383430417E-1,8.641013829E-1,1.949913104E0,6.149341285E-1,2.219679322E0
7.483470417E-1,8.629601526E-1,2.039490108E0,8.275067300E-1,2.364103956E0
7.583510417E-1,7.645293669E-1,2.052335857E0,1.180955713E0,2.488221055E0
7.683550417E-1,5.376491769E-1,1.961776812E0,1.733255637E0,2.672416510E0
7.783590417E-1,1.735273073E-1,1.753879936E0,2.424538030E0,2.997430769E0
7.883632917E-1,-2.839236524E-1,1.397995295E0,3.094240104E0,3.407246000E0
7.983672917E-1,-7.245723456E-1,9.596500030E-1,3.512062254E0,3.712211536E0
8.083712917E-1,-1.127524003E0,5.961353302E-1,3.852950833E0,4.058561055E0
8.183752917E-1,-1.467749362E0,3.086619428E-1,4.070387149E0,4.337927146E0
8.283792917E-1,-1.598398818E0,1.164671803E-1,4.056278987E0,4.361403742E0
8.383832917E-1,-1.331347708E0,5.584222510E-2,3.766139562E0,3.994923312E0
8.483882917E-1,-6.958799122E-1,5.623208821E-2,3.609834132E0,3.676725902E0
8.583922917E-1,-1.305450828E-1,-1.183795121E-1,3.655330732E0,3.659576271E0
8.683962917E-1,2.094631252E-1,-5.438096206E-1,3.494704210E0,3.542959387E0
8.784002917E-1,3.772590648E-1,-9.901395781E-1,2.886837026E0,3.075146956E0
8.884042917E-1,4.598802220E-1,-1.226347941E0,1.998447332E0,2.389395495E0
8.984082917E-1,5.896346882E-1,-1.130859401E0,9.179725116E-1,1.571364242E0
9.084122917E-1,7.723191006E-1,-7.478685299E-1,-3.419182742E-1,1.128136622E0
9.184162917E-1,8.779224466E-1,-2.577341563E-1,-1.500904829E0,1.757808301E0
9.284202917E-1,9.606237106E-1,2.463250691E-1,-2.366424308E0,2.565821108E0
9.384242917E-1,1.051696433E0,7.961491357E-1,-2.863914186E0,3.153081556E0
9.484282917E-1,1.104249453E0,1.306652139E0,-3.089666997E0,3.531677904E0
