"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.508075000E-2,-7.234534078E-1,7.484991521E-1,-1.723355716E-1,1.055147081E0
2.508575000E-2,-6.739133848E-1,6.064968887E-1,-1.985100478E-1,9.281185082E-1
3.509075000E-2,-6.355805739E-1,4.151584509E-1,-1.303683507E-1,7.702695062E-1
4.509575000E-2,-5.637428518E-1,2.434289432E-1,-1.038991749E-2,6.141429831E-1
5.510175000E-2,-3.768224971E-1,2.008635521E-1,7.547235131E-2,4.336328363E-1
6.510675000E-2,-2.240844534E-1,1.867182603E-1,1.353770757E-1,3.215657066E-1
7.511175000E-2,-1.528726758E-1,2.447980687E-1,2.048396587E-1,3.539144462E-1
8.511675000E-2,-7.260611929E-2,3.232796896E-1,1.224816263E-1,3.532465924E-1
9.512175000E-2,5.483168006E-2,3.128657985E-1,-2.222643614E-1,3.876763693E-1
1.051267500E-1,1.403427505E-1,4.750719461E-1,-4.485100919E-1,6.682445242E-1
1.151317500E-1,7.717937283E-2,6.332429302E-1,-6.591156900E-1,9.172713650E-1
1.251367500E-1,-6.167248383E-2,6.731042764E-1,-7.754869759E-1,1.028714203E0
1.351417500E-1,-1.570030759E-1,6.819303560E-1,-7.779059690E-1,1.046334876E0
1.451467500E-1,-2.082200072E-1,7.093479502E-1,-5.891210103E-1,9.453008255E-1
1.551517500E-1,-2.902842171E-1,6.890244904E-1,-2.192758495E-1,7.791672306E-1
1.651577500E-1,-3.697606686E-1,6.191970411E-1,2.334231877E-1,7.580331868E-1
1.751627500E-1,-3.052109161E-1,5.486957002E-1,4.975009882E-1,8.010792146E-1
1.851677500E-1,-1.627230415E-1,5.636949778E-1,5.888456064E-1,8.312460312E-1
1.951727500E-1,7.635330744E-2,6.005248350E-1,3.864927685E-1,7.182176308E-1
2.051777500E-1,3.044817683E-1,6.295802343E-1,-2.237723583E-1,7.342713987E-1
2.151827500E-1,2.210831507E-1,4.722877944E-1,-1.034988745E0,1.158937109E0
2.251877500E-1,-1.561762796E-1,2.007922161E-1,-1.842286329E0,1.859765432E0
2.351927500E-1,2.340633848E-1,6.957046419E-1,-2.298593098E0,2.412948579E0
2.451977500E-1,1.150236708E0,1.328485642E0,-2.856784676E0,3.353973356E0
2.552027500E-1,1.712538368E0,1.754240710E0,-2.663848779E0,3.620253920E0
2.652077500E-1,1.926378353E0,1.394432879E0,-1.631598870E0,2.884006152E0
2.752137500E-1,1.938212825E0,6.212695867E-1,-6.597629768E-1,2.139610254E0
2.852187500E-1,1.714845240E0,1.342935866E-1,-1.431281447E-2,1.720155174E0
2.952237500E-1,1.527563601E0,8.024134040E-2,-8.858648658E-2,1.532232617E0
3.052287500E-1,1.409298548E0,5.756466866E-2,-5.371497881E-1,1.509293206E0
3.152337500E-1,1.292431272E0,-9.128673077E-3,-9.829508650E-1,1.623777795E0
3.252387500E-1,1.359323857E0,1.239931315E-1,-1.435441157E0,1.980814721E0
3.352437500E-1,1.619300713E0,4.613879997E-1,-1.648590294E0,2.356451494E0
3.452487500E-1,1.421298058E0,5.212962323E-1,-1.088632271E0,1.864660332E0
3.552537500E-1,9.779423594E-1,2.571927041E-1,-2.491416728E-1,1.041436949E0
3.652587500E-1,7.515487674E-1,8.420399845E-2,2.643742543E-1,8.011302076E-1
3.752637500E-1,9.088955864E-1,1.902146029E-1,4.976319659E-1,1.053522831E0
3.852697500E-1,8.816300198E-1,2.441791409E-1,4.621960849E-1,1.024948860E0
3.952747500E-1,6.942768981E-1,2.102190971E-1,2.270696032E-1,7.601138630E-1
4.052797500E-1,7.573187998E-1,2.949674714E-1,-2.572909373E-1,8.524882404E-1
4.152847500E-1,7.096751019E-1,3.672682929E-1,-7.023500025E-1,1.063870422E0
4.252897500E-1,6.642263027E-1,3.389420414E-1,-9.821883881E-1,1.233195977E0
4.352947500E-1,7.482469178E-1,2.755336654E-1,-1.120331782E0,1.375112923E0
4.452997500E-1,8.956140015E-1,3.025957489E-1,-1.191129284E0,1.520683267E0
4.553047500E-1,9.985891702E-1,4.306146884E-1,-1.375521814E0,1.753473582E0
4.653097500E-1,8.783997256E-1,5.018051237E-1,-1.516263710E0,1.822758925E0
4.753147500E-1,7.476144683E-1,6.237347728E-1,-1.312101159E0,1.633885526E0
4.853197500E-1,5.426406160E-1,7.495493120E-1,-9.971666157E-1,1.360376517E0
4.953247500E-1,4.203392301E-1,5.578097552E-1,-8.794978327E-1,1.123099830E0
5.053307500E-1,2.894367363E-1,7.121739095E-1,-5.739211732E-1,9.593491621E-1
5.153357500E-1,1.471907902E-1,1.053888116E0,-3.298882127E-1,1.114078777E0
5.253408333E-1,1.826589771E-1,1.257786958E0,-2.770124263E-1,1.300818287E0
5.353458333E-1,3.199342051E-1,1.423029857E0,-3.664795035E-1,1.503887993E0
5.453508333E-1,2.742176034E-1,1.396699260E0,-3.457955629E-1,1.464765745E0
5.553558333E-1,1.981998530E-1,1.352638151E0,-1.321681237E-1,1.373456065E0
5.653608333E-1,1.617544502E-1,1.256388304E0,7.909762502E-2,1.269225160E0
5.753658333E-1,1.894937874E-1,1.170664029E0,1.933241522E-1,1.201555822E0
5.853708333E-1,2.353589085E-1,1.129244692E0,1.543945599E-1,1.163797693E0
5.953758333E-1,2.419839500E-1,1.120611863E0,4.856872737E-2,1.147469434E0
6.053808333E-1,2.954459198E-1,1.110409057E0,-6.232897997E-2,1.150730840E0
6.153858333E-1,3.274415915E-1,1.066196212E0,-1.707819664E-1,1.128343405E0
6.253918333E-1,2.771660618E-1,1.149440683E0,-2.497614777E-1,1.208476605E0
6.353968333E-1,3.018858969E-1,1.276967579E0,-7.205874681E-2,1.314143735E0
6.454018333E-1,3.904187353E-1,1.273815053E0,1.158035213E-1,1.337326450E0
6.554068333E-1,3.435271356E-1,1.279366107E0,7.002976298E-2,1.326534092E0
6.654118333E-1,2.894868761E-1,1.163169945E0,-2.179619801E-1,1.218308006E0
6.754168333E-1,2.071683124E-1,9.695841300E-1,-3.614140606E-1,1.055287742E0
