"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
-5.374997272E-5,1.898839429E-2,1.116689551E-1,3.784902692E-2,1.194280683E-1
9.952250024E-3,4.003340051E-2,-3.664450049E-3,2.392166090E-1,2.425709945E-1
1.995925000E-2,2.570713744E-2,-2.501789689E-2,3.187200308E-1,3.207323029E-1
2.996625000E-2,3.491445556E-3,-5.783773363E-2,3.027232182E-1,3.082186569E-1
3.997225000E-2,-3.359225392E-4,-9.063885927E-2,2.759470636E-1,2.904518851E-1
4.997925000E-2,-2.743213914E-2,-4.511068404E-2,1.537782633E-1,1.625892073E-1
5.998525000E-2,-5.033619449E-2,7.245811164E-2,-3.283562422E-2,9.413866706E-2
6.999225001E-2,-6.541857563E-2,1.252111065E-1,-1.590974754E-1,2.127661108E-1
7.999925001E-2,-5.353235565E-2,1.200906998E-1,-2.572821665E-1,2.889318301E-1
9.000525001E-2,-2.136748016E-2,1.265694147E-1,-4.105856359E-1,4.301824617E-1
1.000122500E-1,2.754360169E-2,1.805666971E-1,-5.819757128E-1,6.099661567E-1
1.100182500E-1,3.707719445E-2,2.436984998E-1,-7.133427680E-1,7.547327883E-1
1.200252500E-1,-2.187246032E-2,2.316263384E-1,-7.227678949E-1,7.592908501E-1
1.300322500E-1,-6.274526518E-2,2.168597800E-1,-5.781083643E-1,6.206242127E-1
1.400382500E-1,-1.205032939E-1,2.403878063E-1,-3.233481020E-1,4.205488513E-1
1.500452500E-1,-1.610061162E-1,2.350761956E-1,-1.034179491E-1,3.031155875E-1
1.600512500E-1,-1.649252125E-1,1.674660105E-1,-1.656983972E-2,2.356262930E-1
1.700582500E-1,-1.311173425E-1,5.631921172E-2,-4.048436701E-2,1.483327175E-1
1.800652500E-1,-1.223119108E-1,1.727033615E-2,-1.347923541E-1,1.828317444E-1
1.900712500E-1,-2.138106397E-1,6.165362656E-2,-2.453889298E-1,3.312580357E-1
2.000782500E-1,-3.053351329E-1,1.584589595E-1,-2.945710301E-1,4.528916835E-1
2.100838333E-1,-3.456353492E-1,1.723279703E-1,-2.891682029E-1,4.824717333E-1
2.200908333E-1,-3.007457995E-1,2.054489386E-1,-1.851298642E-1,4.085711308E-1
2.300978334E-1,-2.390257340E-1,2.244073659E-1,-2.177356929E-1,3.935743885E-1
2.401038333E-1,-2.053144526E-1,1.930089873E-1,-3.724822551E-1,4.670647964E-1
2.501108334E-1,-1.400468814E-1,1.960056853E-1,-4.920548916E-1,5.478588997E-1
2.601168333E-1,-1.238285689E-1,1.701791185E-1,-6.866057897E-1,7.181378400E-1
2.701238334E-1,-1.784134234E-1,2.098898989E-1,-9.528312725E-1,9.918530905E-1
2.801308334E-1,-2.464772794E-1,2.962029880E-1,-1.110865724E0,1.175801818E0
2.901368334E-1,-2.972070646E-1,3.199555475E-1,-1.127240852E0,1.208873661E0
3.001438334E-1,-2.740852370E-1,2.801570588E-1,-1.130267955E0,1.196292751E0
3.101498334E-1,-1.343785905E-1,1.841182959E-1,-1.167759132E0,1.189797690E0
3.201568334E-1,1.130080406E-2,1.690722406E-2,-1.310118368E0,1.310276193E0
3.301638333E-1,1.792249073E-1,-1.358623946E-1,-1.454452794E0,1.471738117E0
3.401698333E-1,3.358272296E-1,-2.553233492E-1,-1.610640110E0,1.664971923E0
3.501768333E-1,5.278348447E-1,-3.381193382E-1,-1.760702468E0,1.868958932E0
3.601828333E-1,7.257160610E-1,-4.166614777E-1,-1.957594591E0,2.128954478E0
3.701898333E-1,9.295907830E-1,-4.878524977E-1,-2.178195419E0,2.417989737E0
3.801968333E-1,1.103499256E0,-5.402862346E-1,-2.384340177E0,2.682293403E0
3.902028333E-1,1.296688922E0,-6.020357555E-1,-2.511391402E0,2.889798606E0
4.002098333E-1,1.474460211E0,-6.590975636E-1,-2.574600973E0,3.039245413E0
4.102158333E-1,1.644828487E0,-7.493060678E-1,-2.573849605E0,3.145094931E0
4.202228333E-1,1.842609972E0,-8.085108805E-1,-2.554245061E0,3.251625622E0
4.302298333E-1,1.993025209E0,-8.495244205E-1,-2.516429948E0,3.320581411E0
4.402358333E-1,1.989986119E0,-7.924023861E-1,-2.462337940E0,3.263595322E0
4.502428334E-1,1.928682156E0,-5.180937123E-1,-2.302775027E0,3.048115611E0
4.602488333E-1,1.819396818E0,-2.641573226E-1,-2.202224552E0,2.868758765E0
4.702558334E-1,1.693104562E0,-1.496673784E-1,-2.079901385E0,2.686073929E0
4.802628334E-1,1.599339927E0,-7.282560915E-2,-1.867027652E0,2.459468240E0
4.902688334E-1,1.539116383E0,-5.116898417E-2,-1.660004058E0,2.264312474E0
5.002758334E-1,1.509193842E0,-1.089163783E-1,-1.334677843E0,2.017645602E0
5.102818334E-1,1.444387104E0,-2.036596906E-1,-9.792472386E-1,1.756888309E0
5.202888334E-1,1.387356286E0,-2.780090842E-1,-6.449467170E-1,1.554992857E0
5.302958333E-1,1.226751545E0,-4.242795226E-1,-3.049521768E-1,1.333389777E0
5.403018334E-1,1.064591298E0,-4.919975889E-1,1.191428661E-1,1.178817747E0
5.503088333E-1,1.004890057E0,-4.529414043E-1,5.658584476E-1,1.239014013E0
5.603148334E-1,8.557622302E-1,-4.356330612E-1,9.811358893E-1,1.372855707E0
5.703218333E-1,7.073977576E-1,-4.033032212E-1,1.146236701E0,1.406031170E0
5.803288333E-1,7.120623739E-1,-3.005693963E-1,1.088831661E0,1.335263709E0
5.903348333E-1,8.740717627E-1,-2.641473824E-1,9.266714144E-1,1.300959337E0
6.003418333E-1,8.687180521E-1,1.703761697E-2,6.980148768E-1,1.114534029E0
6.103478333E-1,8.799851981E-1,3.159060583E-1,6.435884088E-1,1.135066794E0
6.203548333E-1,9.774843031E-1,3.532519323E-1,5.726090580E-1,1.186652276E0
